Date;H;Q;ICQ;DateNum
1845-10-29;0.72;1108.88;20;10759
1845-11-17;3;2841;20;10778
1846-02-23;0.9;1107.44;20;10876
1846-04-01;2.88;2807.28;20;10913
1874-10-27;0.63;577;20;21349
1875-01-24;4;3943;20;21438
1875-06-12;1.44;1207;20;21577
1875-10-14;1.89;1417;20;21701
1876-02-07;0.53;562;20;21817
1876-11-10;0.19;398;20;22094
1893-05-09;0.7;1021;20;28118
1893-06-12;0.52;961;20;28152
1893-08-19;0.5;899;20;28220
1893-09-11;0.12;738;20;28243
1893-09-12;0.25;772;20;28244
1894-09-08;0.67;1055;20;28605
1895-10-02;-0.17;740;20;28994
1897-11-08;0.23;865;20;29762
1897-11-13;0.26;874;20;29767
1897-11-24;0.1;799;20;29778
1897-11-27;0.05;704;20;29781
1897-12-01;-0.03;686;20;29785
1897-12-09;-0.04;658;20;29793
1897-12-11;0.2;838;20;29795
1897-12-28;0.6;876;20;29812
1898-01-29;0.4;956;20;29844
1898-02-03;0.15;827;20;29849
08/09/1902 00:00;1.31;1327;20;31526
09/09/1902 00:00;1.27;1358;20;31527
24/09/1902 00:00;0.42;869;20;31542
05/02/1903 00:00;1.12;1226;20;31676
06/02/1903 00:00;1.13;1242;20;31677
21/09/1903 00:00;0.29;799;20;31904
24/09/1903 00:00;0.25;801;20;31907
30/09/1903 00:00;-0.03;707;20;31913
12/09/1904 00:00;0.35;837;20;32261
13/09/1904 00:00;0.3;800;20;32262
28/09/1904 00:00;1.33;1355;20;32277
29/09/1904 00:00;1.05;1230;20;32278
14/10/1904 00:00;0.75;1031;20;32293
07/09/1906 00:00;0.15;832;20;32986
14/09/1906 00:00;0.12;809;20;32993
27/09/1906 00:00;-0.44;549;20;33006
12/10/1906 00:00;-0.35;572;20;33021
11/09/1907 00:00;0.37;854;20;33355
12/09/1907 00:00;0.38;858;20;33356
23/09/1907 00:00;0.12;646;20;33367
23/09/1907 12:00;-0.13;620;20;33367.1
27/10/1908 00:00;0.15;621;20;33767
25/08/1909 00:00;1.25;1329;20;34069
07/09/1909 00:00;0.08;757;20;34082
08/09/1909 00:00;0.01;681;20;34083
14/09/1909 00:00;0.98;1205;20;34089
20/09/1909 00:00;1.22;1198;20;34095
07/10/1909 00:00;2.54;3291;25;34112
12/10/1909 00:00;2.57;3439;25;34117
19/10/1909 00:00;1.42;1495;20;34124
06/02/1910 00:00;3.99;4610;20;34234
12/02/1910 00:00;4.2;4853;20;34240
08/09/1910 00:00;1.15;1354;20;34448
15/09/1910 00:00;1;1075;20;34455
19/09/1910 00:00;0.86;1086;20;34459
29/09/1910 00:00;0.53;930;20;34469
03/10/1910 00:00;0.47;941;20;34473
24/10/1910 00:00;3.31;3532;20;34494
27/10/1910 00:00;1.22;1309;20;34497
15/11/1910 00:00;5.16;5301;20;34516
02/12/1910 00:00;6.56;7444;20;34533
25/11/1911 00:00;4.04;4223;20;34891
05/02/1914 00:00;0.33;729;20;35694
09/09/1919 00:00;0.67;830;20;37736
26/09/1919 00:00;1.06;1069;20;37753
23/11/1920 00:00;0.6;914;20;38177
01/12/1920 00:00;1.7;2109;30;38185
22/03/1921 00:00;0.38;872;20;38296
13/07/1921 00:00;0.24;712;20;38409
03/11/1921 00:00;-0.5;452;20;38522
19/10/1922 00:00;0.7;853;20;38872
03/07/1924 00:00;1.68;1725;30;39495
09/08/1924 00:00;0.98;961;20;39532
09/09/1924 00:00;0.63;840;20;39563
22/09/1924 00:00;0.55;785;20;39576
10/10/1927 00:00;1.58;1599;30;40689
18/09/1928 00:00;0.5;778;20;41033
29/01/1929 00:00;1;998;20;41166
25/09/1929 00:00;0.62;859;20;41405
02/10/1929 00:00;0.15;645;20;41412
05/09/1930 00:00;1.3;1378;20;41750
07/10/1931 00:00;1.05;1053;20;42147
12/10/1934 00:00;0.12;655;20;43248
09/11/1936 00:00;1.1;1055;20;44007
24/02/1954 00:00;1.15;1173;10;50323
25/03/1954 00:00;2.69;2386;10;50352
03/12/1954 00:00;3.37;2856;10;50605
29/10/1955 00:00;0.47;693;10;50935
23/11/1955 00:00;0.52;708;10;50960
28/11/1955 00:00;0.35;621;10;50965
27/01/1956 00:00;2.35;1815;10;51025
06/06/1956 00:00;2.18;1697;10;51156
14/06/1956 00:00;2.58;2086;10;51164
21/06/1956 00:00;2.09;1602;10;51171
21/11/1956 00:00;1.14;979;10;51324
07/12/1957 00:00;0.1;551;10;51705
28/01/1959 00:00;3.25;2867;10;52122
18/05/1960 00:00;1.88;1520;10;52598
19/05/1960 00:00;2;1590;15;52599
19/05/1960 12:00;1.96;1575;10;52599.1
20/05/1960 00:00;2.2;1755;10;52600
24/08/1960 00:00;2.6;2260;10;52696
24/08/1960 12:00;2.56;2148;10;52696.1
18/01/1961 00:00;2.76;2280;15;52843
18/01/1961 12:00;2.72;2270;10;52843.1
19/01/1961 00:00;2.5;2110;10;52844
19/01/1961 12:00;2.46;1970;10;52844.1
08/02/1961 00:00;3.85;3560;10;52864
08/02/1961 12:00;3.86;3650;10;52864.1
09/02/1961 00:00;3.86;3570;10;52865
09/02/1961 12:00;3.86;3620;10;52865.1
14/03/1961 00:00;1.95;1520;10;52898
15/03/1961 00:00;1.89;1440;10;52899
15/03/1961 12:00;1.87;1390;10;52899.1
11/04/1961 00:00;1.42;1162;10;52926
12/04/1961 00:00;1.58;1263;10;52927
12/04/1961 12:00;1.6;1225;10;52927.1
03/05/1961 00:00;1.9;1470;10;52948
03/05/1961 12:00;1.9;1475;10;52948.1
02/08/1961 00:00;1.66;1275;10;53039
02/08/1961 12:00;1.64;1255;10;53039.1
03/08/1961 00:00;1.58;1255;10;53040
03/08/1961 12:00;1.58;1260;10;53040.1
09/08/1961 00:00;1.19;995;10;53046
09/08/1961 12:00;1.2;1020;10;53046.1
10/08/1961 00:00;1.34;1085;10;53047
10/08/1961 12:00;1.29;1035;10;53047.1
31/08/1961 00:00;0.78;820;10;53068
31/08/1961 12:00;0.8;815;10;53068.1
05/09/1961 00:00;0.55;733;10;53073
05/09/1961 12:00;0.8;825;10;53073.1
26/09/1961 00:00;0.23;565;10;53094
26/09/1961 12:00;0.26;590;10;53094.1
27/09/1961 00:00;0.25;572;10;53095
27/09/1961 12:00;0.38;627;10;53095.1
17/10/1961 00:00;0.25;585;10;53115
17/10/1961 12:00;0.3;595;10;53115.1
29/11/1961 00:00;2.54;2040;10;53158
29/11/1961 12:00;2.42;1920;10;53158.1
30/11/1961 00:00;2.52;2000;10;53159
30/11/1961 12:00;2.5;1990;15;53159.1
15/12/1961 00:00;4.5;4370;15;53174
15/12/1961 12:00;4.47;4390;15;53174.1
15/12/1961 15:00;4.42;4370;15;53174.2
15/12/1961 18:00;4.4;4270;15;53174.3
15/12/1961 21:00;4.38;4270;15;53174.4
19/12/1961 00:00;3.09;2680;15;53178
19/12/1961 12:00;3.07;2550;10;53178.1
20/12/1961 00:00;3.04;2580;10;53179
20/12/1961 12:00;3.04;2540;10;53179.1
25/04/1962 00:00;3.1;2680;10;53305
25/04/1962 12:00;3.08;2690;10;53305.1
13/06/1962 00:00;1.2;1040;10;53354
13/06/1962 12:00;1.16;1020;10;53354.1
25/07/1962 00:00;0.78;845;10;53396
25/07/1962 12:00;0.82;865;10;53396.1
04/09/1962 00:00;0.08;528;10;53437
04/09/1962 12:00;0;508;10;53437.1
04/12/1962 15:00;-0.07;507;10;53528
04/12/1962 18:00;-0.04;495;10;53528.1
06/03/1963 00:00;0.88;875;10;53620
06/03/1963 12:00;1;930;10;53620.1
21/03/1963 00:00;3.8;3460;10;53635
21/03/1963 12:00;3.84;3500;10;53635.1
09/04/1963 00:00;2.48;2050;10;53654
09/04/1963 12:00;2.47;1990;10;53654.1
18/04/1963 00:00;3.28;2890;10;53663
18/04/1963 12:00;3.38;3010;10;53663.1
06/06/1963 00:00;4.31;4060;10;53712
06/06/1963 12:00;4.22;3910;10;53712.1
01/08/1963 00:00;1.54;1260;10;53768
01/08/1963 12:00;1.58;1295;10;53768.1
22/10/1963 00:00;0.64;795;10;53850
22/10/1963 12:00;0.57;762;10;53850.1
07/11/1963 00:00;6.62;7100;15;53866
07/11/1963 12:00;6.62;7100;15;53866.1
08/11/1963 00:00;4.9;4640;10;53867
09/11/1963 00:00;4.25;4130;10;53868
07/04/1964 00:00;3.1;2745;10;54018
07/04/1964 12:00;3.04;2620;10;54018.1
26/05/1964 00:00;2.27;1840;10;54067
26/05/1964 12:00;2.2;1745;10;54067.1
17/06/1964 00:00;0.96;975;10;54089
17/06/1964 12:00;1.05;1000;10;54089.1
19/08/1964 00:00;0.27;655;10;54152
19/08/1964 12:00;0.22;630;10;54152.1
09/09/1964 00:00;0.84;890;10;54173
09/09/1964 12:00;0.5;730;10;54173.1
22/09/1964 00:00;0.39;693;10;54186
22/09/1964 12:00;0.32;675;10;54186.1
27/04/1965 00:00;2.26;1860;10;54403
27/04/1965 12:00;2.16;1765;10;54403.1
22/06/1965 00:00;2;1635;10;54459
22/06/1965 12:00;2.02;1620;10;54459.1
10/08/1965 00:00;0.42;720;10;54508
10/08/1965 12:00;0.7;860;10;54508.1
24/08/1965 00:00;1.45;1230;10;54522
24/08/1965 12:00;1.46;1220;10;54522.1
25/08/1965 00:00;1.7;1390;10;54523
25/08/1965 12:00;1.82;1440;10;54523.1
07/09/1965 00:00;2.46;2030;10;54536
07/09/1965 12:00;2.52;2130;10;54536.1
14/09/1965 00:00;3.09;2760;10;54543
14/09/1965 12:00;3.17;2825;10;54543.1
03/12/1965 00:00;3.52;3300;10;54623
03/12/1965 12:00;3.63;3360;10;54623.1
09/12/1965 00:00;4.82;4625;10;54629
09/12/1965 12:00;4.78;4545;10;54629.1
29/03/1966 00:00;2.08;1720;10;54739
29/03/1966 12:00;2.24;1780;10;54739.1
12/05/1966 00:00;3.2;2910;10;54783
12/05/1966 12:00;3.2;2900;15;54783.1
12/05/1966 18:00;3.2;2900;10;54783.2
23/08/1966 00:00;0.85;944;10;54886
23/08/1966 12:00;0.89;925;10;54886.1
06/09/1966 00:00;0.38;670;15;54900
06/09/1966 12:00;0.33;675;10;54900.1
06/09/1966 15:00;0.25;650;10;54900.2
06/09/1966 18:00;0.4;727;10;54900.3
28/09/1966 00:00;0.19;635;10;54922
28/09/1966 12:00;0.25;650;10;54922.1
08/03/1967 00:00;3.3;2735;10;55083
08/03/1967 12:00;3.33;2775;10;55083.1
21/03/1967 00:00;2.45;1730;10;55096
18/04/1967 00:00;2.09;1385;10;55124
18/04/1967 12:00;1.96;1320;10;55124.1
