Day;Month;Year;Hour;Minutes;h;Q;Qsigma;Period;Validity;;;;
7;11;2001;16;30;0.17;1.52;7;18;1;07/11/2001;16:30:00;07/11/2001 16:30;37202.6875
4;12;2001;14;45;0.1;0.727;7;18;1;04/12/2001;14:45:00;04/12/2001 14:45;37229.6146
10;1;2002;14;0;0.06;0.5;7;18;1;10/01/2002;14:00:00;10/01/2002 14:00;37266.5833
13;2;2002;16;45;0.08;1.11;7;18;1;13/02/2002;16:45:00;13/02/2002 16:45;37300.6979
23;4;2002;17;45;0.17;1.74;7;18;1;23/04/2002;17:45:00;23/04/2002 17:45;37369.7396
2;5;2002;13;40;0.22;2.37;7;18;1;02/05/2002;13:40:00;02/05/2002 13:40;37378.5694
19;6;2002;17;0;0.12;1.14;7;18;1;19/06/2002;17:00:00;19/06/2002 17:00;37426.7083
12;8;2002;11;25;0.015;0.277;7;18;1;12/08/2002;11:25:00;12/08/2002 11:25;37480.4757
12;9;2002;18;0;0.155;1.45;7;18;1;12/09/2002;18:00:00;12/09/2002 18:00;37511.75
15;11;2002;12;5;1.02;28.5;10;17;1;15/11/2002;12:05:00;15/11/2002 12:05;37575.5035
18;12;2002;15;45;0.46;7.83;7;16;1;18/12/2002;15:45:00;18/12/2002 15:45;37608.6563
28;1;2003;15;40;0.22;2.59;7;16;1;28/01/2003;15:40:00;28/01/2003 15:40;37649.6528
14;5;2003;15;50;0.12;1.2;7;16;1;14/05/2003;15:50:00;14/05/2003 15:50;37755.6597
25;6;2003;16;30;0;0.25;7;16;1;25/06/2003;16:30:00;25/06/2003 16:30;37797.6875
24;7;2003;14;0;0.07;0.598;7;16;1;24/07/2003;14:00:00;24/07/2003 14:00;37826.5833
24;9;2003;16;45;0;0.143;7;16;1;24/09/2003;16:45:00;24/09/2003 16:45;37888.6979
28;10;2003;17;15;0.09;0.606;7;16;1;28/10/2003;17:15:00;28/10/2003 17:15;37922.7188
24;11;2003;13;35;1.98;96.6;10;15;1;24/11/2003;13:35:00;24/11/2003 13:35;37949.566
21;1;2004;16;30;0.18;2.04;7;14;1;21/01/2004;16:30:00;21/01/2004 16:30;38007.6875
2;3;2004;16;45;0.28;3.45;7;14;1;02/03/2004;16:45:00;02/03/2004 16:45;38048.6979
12;5;2004;17;0;0.265;3.17;7;14;1;12/05/2004;17:00:00;12/05/2004 17:00;38119.7083
15;6;2004;17;15;0.06;0.629;7;14;1;15/06/2004;17:15:00;15/06/2004 17:15;38153.7188
30;9;2004;10;0;0.05;0.247;7;14;1;30/09/2004;10:00:00;30/09/2004 10:00;38260.4167
26;10;2004;12;30;0.52;9.5;10;14;1;26/10/2004;12:30:00;26/10/2004 12:30;38286.5208
28;10;2004;13;20;1.61;63.9;10;14;1;28/10/2004;13:20:00;28/10/2004 13:20;38288.5556
21;12;2004;16;25;0.145;1.69;10;13;1;21/12/2004;16:25:00;21/12/2004 16:25;38342.684
14;4;2005;9;30;0.12;0.978;7;13;1;14/04/2005;09:30:00;14/04/2005 09:30;38456.3958
5;7;2005;18;15;-0.005;0.226;7;13;1;05/07/2005;18:15:00;05/07/2005 18:15;38538.7604
25;8;2005;14;45;-0.045;0.12;7;13;1;25/08/2005;14:45:00;25/08/2005 14:45;38589.6146
22;11;2005;16;35;0.25;2.88;7;12;1;22/11/2005;16:35:00;22/11/2005 16:35;38678.691
3;5;2006;16;45;0.14;1.49;7;12;1;03/05/2006;16:45:00;03/05/2006 16:45;38840.6979
8;8;2006;16;30;-0.015;0.129;7;12;1;08/08/2006;16:30:00;08/08/2006 16:30;38937.6875
8;11;2006;17;0;0.19;1.93;7;11;1;08/11/2006;17:00:00;08/11/2006 17:00;39029.7083
9;1;2007;14;52;0.12;1.28;7;10;1;09/01/2007;14:52:00;09/01/2007 14:52;39091.6194
19;4;2007;15;50;0.175;2;7;10;1;19/04/2007;15:50:00;19/04/2007 15:50;39191.6597
15;5;2007;13;45;0.39;5.92;7;10;1;15/05/2007;13:45:00;15/05/2007 13:45;39217.5729
9;7;2007;17;0;0.07;0.709;7;10;1;09/07/2007;17:00:00;09/07/2007 17:00;39272.7083
3;10;2007;16;15;-0.025;0.196;7;10;1;03/10/2007;16:15:00;03/10/2007 16:15;39358.6771
23;4;2008;17;0;0.68;15.9;5;8;1;23/04/2008;17:00:00;23/04/2008 17:00;39561.7083
17;6;2008;12;0;0.28;3.65;7;8;1;17/06/2008;12:00:00;17/06/2008 12:00;39616.5
9;9;2008;16;40;0.02;0.386;10;8;1;09/09/2008;16:40:00;09/09/2008 16:40;39700.6944
27;11;2008;11;55;-0.245;2.03;7;7;1;27/11/2008;11:55:00;27/11/2008 11:55;39779.4965
3;2;2009;11;6;1.06;44.1;10;7;1;03/02/2009;11:06:00;03/02/2009 11:06;39847.4625
10;3;2009;16;10;-0.25;1.97;7;7;1;10/03/2009;16:10:00;10/03/2009 16:10;39882.6736
22;2;2010;10;36;0.1;10.5;5;7;1;22/02/2010;10:36:00;22/02/2010 10:36;40231.4417
30;3;2010;11;21;0.23;12.8;5;7;1;30/03/2010;11:21:00;30/03/2010 11:21;40267.4729
2;6;2010;11;35;-0.26;1.63;5;7;1;02/06/2010;11:35:00;02/06/2010 11:35;40331.4826
8;7;2010;11;55;-0.36;0.602;7;7;1;08/07/2010;11:55:00;08/07/2010 11:55;40367.4965
19;7;2010;8;57;-0.4;0.366;7;7;1;19/07/2010;08:57:00;19/07/2010 08:57;40378.3729
27;7;2010;8;55;-0.41;0.314;7;7;1;27/07/2010;08:55:00;27/07/2010 08:55;40386.3715
4;8;2010;8;15;-0.405;0.273;7;7;1;04/08/2010;08:15:00;04/08/2010 08:15;40394.3438
11;8;2010;7;40;-0.43;0.166;7;7;1;11/08/2010;07:40:00;11/08/2010 07:40;40401.3194
19;8;2010;8;45;-0.43;0.181;7;7;1;19/08/2010;08:45:00;19/08/2010 08:45;40409.3646
25;8;2010;8;20;-0.435;0.154;7;7;1;25/08/2010;08:20:00;25/08/2010 08:20;40415.3472
2;9;2010;11;30;-0.445;0.102;7;7;1;02/09/2010;11:30:00;02/09/2010 11:30;40423.4792
9;11;2010;12;50;-0.11;5.77;5;5;1;09/11/2010;12:50:00;09/11/2010 12:50;40491.5347
15;11;2010;12;14;0.55;34.9;5;5;1;15/11/2010;12:14:00;15/11/2010 12:14;40497.5097
7;1;2011;10;13;-0.1;5.34;5;4;1;07/01/2011;10:13:00;07/01/2011 10:13;40550.4257
23;2;2011;10;44;-0.23;2.27;5;4;1;23/02/2011;10:44:00;23/02/2011 10:44;40597.4472
2;3;2011;10;39;-0.27;1.98;5;4;1;02/03/2011;10:39:00;02/03/2011 10:39;40604.4438
7;3;2011;10;51;-0.29;1.7;5;4;1;07/03/2011;10:51:00;07/03/2011 10:51;40609.4521
11;3;2011;10;10;-0.31;1.42;5;4;1;11/03/2011;10:10:00;11/03/2011 10:10;40613.4236
14;3;2011;13;8;0.32;18.6;5;4;1;14/03/2011;13:08:00;14/03/2011 13:08;40616.5472
3;5;2011;11;9;-0.36;1.06;5;4;1;03/05/2011;11:09:00;03/05/2011 11:09;40666.4646
13;5;2011;11;48;-0.39;0.672;5;4;1;13/05/2011;11:48:00;13/05/2011 11:48;40676.4917
17;5;2011;9;12;-0.39;0.65;5;4;1;17/05/2011;09:12:00;17/05/2011 09:12;40680.3833
18;5;2011;9;0;-0.39;0.521;7;4;1;18/05/2011;09:00:00;18/05/2011 09:00;40681.375
18;5;2011;9;30;-0.39;0.541;7;4;1;18/05/2011;09:30:00;18/05/2011 09:30;40681.3958
18;5;2011;11;13;-0.39;0.692;5;4;1;18/05/2011;11:13:00;18/05/2011 11:13;40681.4674
9;6;2011;9;40;-0.43;0.342;7;4;1;09/06/2011;09:40:00;09/06/2011 09:40;40703.4028
14;6;2011;8;20;-0.42;0.374;7;4;1;14/06/2011;08:20:00;14/06/2011 08:20;40708.3472
21;6;2011;9;5;-0.45;0.252;7;4;1;21/06/2011;09:05:00;21/06/2011 09:05;40715.3785
29;6;2011;11;5;-0.47;0.199;7;4;1;29/06/2011;11:05:00;29/06/2011 11:05;40723.4618
5;7;2011;9;25;-0.475;0.172;7;4;1;05/07/2011;09:25:00;05/07/2011 09:25;40729.3924
28;7;2011;11;10;-0.46;0.253;7;4;1;28/07/2011;11:10:00;28/07/2011 11:10;40752.4653
5;8;2011;8;50;-0.48;0.133;7;4;1;05/08/2011;08:50:00;05/08/2011 08:50;40760.3681
23;8;2011;8;30;-0.505;0.069;7;4;1;23/08/2011;08:30:00;23/08/2011 08:30;40778.3542
30;9;2011;11;30;-0.492;0.113;7;4;1;30/09/2011;11:30:00;30/09/2011 11:30;40816.4792
25;10;2011;8;31;0.24;13.5;5;4;1;25/10/2011;08:31:00;25/10/2011 08:31;40841.3549
26;1;2012;12;20;-0.47;0.718;5;3;1;26/01/2012;12:20:00;26/01/2012 12:20;40934.5139
1;2;2012;12;20;-0.49;0.625;7;3;1;01/02/2012;12:20:00;01/02/2012 12:20;40940.5139
20;2;2012;13;55;-0.51;0.591;7;3;1;20/02/2012;13:55:00;20/02/2012 13:55;40959.5799
11;4;2012;11;4;-0.01;9.98;5;3;1;11/04/2012;11:04:00;11/04/2012 11:04;41010.4611
2;5;2012;7;50;0.138;13.5;5;3;1;02/05/2012;07:50:00;02/05/2012 07:50;41031.3264
4;5;2012;7;6;-0.045;8.84;5;3;1;04/05/2012;07:06:00;04/05/2012 07:06;41033.2958
22;5;2012;9;53;-0.17;5.34;5;3;1;22/05/2012;09:53:00;22/05/2012 09:53;41051.4118
30;5;2012;9;27;-0.22;4.13;5;3;1;30/05/2012;09:27:00;30/05/2012 09:27;41059.3938
4;6;2012;8;53;-0.31;2.63;5;3;1;04/06/2012;08:53:00;04/06/2012 08:53;41064.3701
11;6;2012;9;42;-0.39;1.68;5;3;1;11/06/2012;09:42:00;11/06/2012 09:42;41071.4042
29;6;2012;9;35;-0.497;0.559;7;3;1;29/06/2012;09:35:00;29/06/2012 09:35;41089.3993
29;6;2012;10;0;-0.497;0.58;7;3;1;29/06/2012;10:00:00;29/06/2012 10:00;41089.4167
20;7;2012;9;0;-0.525;0.428;7;3;1;20/07/2012;09:00:00;20/07/2012 09:00;41110.375
20;7;2012;9;25;-0.525;0.409;7;3;1;20/07/2012;09:25:00;20/07/2012 09:25;41110.3924
27;7;2012;11;25;-0.55;0.273;7;3;1;27/07/2012;11:25:00;27/07/2012 11:25;41117.4757
7;8;2012;9;40;-0.54;0.313;7;3;1;07/08/2012;09:40:00;07/08/2012 09:40;41128.4028
23;8;2012;7;0;-0.585;0.135;7;3;1;23/08/2012;07:00:00;23/08/2012 07:00;41144.2917
4;10;2012;12;0;-0.51;0.476;7;3;1;04/10/2012;12:00:00;04/10/2012 12:00;41186.5
25;10;2012;13;31;-0.37;1.87;5;3;1;25/10/2012;13:31:00;25/10/2012 13:31;41207.5632
13;11;2012;10;50;-0.13;6.18;5;3;1;13/11/2012;10:50:00;13/11/2012 10:50;41226.4514
27;11;2012;8;12;0.12;13.3;5;3;1;27/11/2012;08:12:00;27/11/2012 08:12;41240.3417
30;1;2013;12;0;-0.285;3.35;5;3;1;30/01/2013;12:00:00;30/01/2013 12:00;41304.5
7;3;2013;12;6;-0.015;9.98;5;3;1;07/03/2013;12:06:00;07/03/2013 12:06;41340.5042
;;;;;-0.49;0.677;7;;;;;05/07/2013 12:00;41460.5
;;;;;-0.52;0.466;7;;;;;22/07/2013 10:15;41477.42708
;;;;;-0.44;1.07;5;;;;;30/07/2013 13:44;41485.57222
;;;;;-0.532;0.337;7;;;;;20/08/2013 12:00;41506.5
;;;;;-0.39;1.39;5;;;;;30/09/2013 10:34;41547.44028
;;;;;-0.02;9.83;5;;;;;03/01/2014 12:02;41642.50139
;;;;;0.17;14;5;;;;;22/01/2014 10:47;41661.44931
;;;;;-0.24;3.8;5;;;;;31/01/2014 10:31;41670.43819
;;;;;-0.3;2.9;5;;;;;20/03/2014 11:02;41718.45972
;;;;;-0.4;1.38;5;;;;;11/04/2014 09:29;41740.39514
;;;;;-0.46;0.874;7;;;;;11/06/2014 09:35;41801.39931
;;;;;-0.2;4.85;5;;;;;08/07/2014 09:50;41828.40972
;;;;;1.53;72.9;10;;;;;13/10/2014 11:44;41925.48889
;;;;;-0.46;1.95;5;;;;;17/02/2015 09:27;42052.39375
;;;;;-0.45;2.1;5;;;;;23/03/2015 12:44;42086.53056
;;;;;-0.52;1.2;5;;;;;09/04/2015 09:39;42103.40208
;;;;;-0.46;2.1;5;;;;;11/05/2015 09:22;42135.39028
;;;;;-0.6;0.658;7;;;;;03/06/2015 12:20;42158.51389
;;;;;-0.63;0.477;7;;;;;26/06/2015 10:32;42181.43889
;;;;;-0.675;0.255;7;;;;;10/07/2015 07:46;42195.32361
;;;;;-0.715;0.117;7;;;;;24/07/2015 08:00;42209.33333
;;;;;-0.71;0.143;7;;;;;27/07/2015 08:45;42212.36458
;;;;;-0.71;0.148;7;;;;;30/07/2015 09:25;42215.39236
;;;;;-0.715;0.162;7;;;;;07/08/2015 09:30;42223.39583
;;;;;-0.71;0.146;7;;;;;21/08/2015 07:25;42237.30903
;;;;;-0.335;4.05;5;;;;;06/10/2015 10:13;42283.42569
;;;;;-0.495;1.67;5;;;;;13/01/2016 10:33;42382.43958
;;;;;-0.53;1.3;5;;;;;25/01/2016 11:54;42394.49583
;;;;;0.26;22.7;7;;;;;07/04/2016 10:01;42467.41736
;;;;;0.07;15.4;5;;;;;08/04/2016 10:54;42468.45417
;;;;;-0.2;7.2;5;;;;;12/04/2016 10:26;42472.43472
;;;;;-0.47;1.9;5;;;;;28/04/2016 11:11;42488.46597
;;;;;-0.61;0.675;7;;;;;01/07/2016 11:25;42552.47569
;;;;;-0.66;0.394;7;;;;;18/07/2016 09:30;42569.39583
;;;;;-0.69;0.226;7;;;;;10/08/2016 12:05;42592.50347
;;;;;1.11;60.7;10;;;;;23/11/2016 11:14;42697.46806
;;;;;-0.29;4.7;5;;;;;09/03/2017 10:42;42803.44583
;;;;;-0.405;2.97;5;;;;;22/05/2017 09:34;42877.39861
;;;;;-0.515;1.34;5;;;;;02/06/2017 10:13;42888.42569
;;;;;-0.6;0.684;7;;;;;28/06/2017 10:00;42914.41667
;;;;;-0.67;0.311;7;;;;;20/07/2017 11:00;42936.45833
;;;;;-0.71;0.157;7;;;;;22/08/2017 07:55;42969.32986
;;;;;-0.21;6.4;5;;;;;11/01/2018 10:55;43111.45486
;;;;;0.42;26.8;7;;;;;16/03/2018 11:15;43175.46875
;;;;;-0.39;2.9;5;;;;;21/06/2018 09:40;43272.40278
;;;;;-0.6;0.625;7;;;;;16/07/2018 08:53;43297.37014
;;;;;-0.615;0.49;7;;;;;23/07/2018 09:12;43304.38333
;;;;;-0.65;0.314;7;;;;;08/08/2018 08:49;43320.36736
;;;;;-0.685;0.146;7;;;;;25/09/2018 10:55;43368.45486
